Category,Fuel_Type,Financial_Year,Registrations,Year,Is_EV
All Vehicles,Total,FY2024,24640843.0,2024,False
All Vehicles,EV,FY2024,1678063.0,2024,True
All Vehicles,Petrol,FY2024,18353673.0,2024,False
All Vehicles,Diesel,FY2024,2608848.0,2024,False
2W,Total,FY2024,17550913.0,2024,False
2W,EV,FY2024,1012841.0,2024,True
2W,Petrol,FY2024,16578332.0,2024,False
3W Passenger,Total,FY2024,513627.0,2024,False
3W Passenger,EV,FY2024,69923.0,2024,True
3W Passenger,Diesel,FY2024,72759.0,2024,False
3W Passenger,Petrol/CNG,FY2024,2047.0,2024,False
3W Goods,Total,FY2024,122160.0,2024,False
3W Goods,EV,FY2024,31758.0,2024,True
3W Goods,Diesel,FY2024,60776.0,2024,False
3W Goods,CNG,FY2024,28881.0,2024,False
Cars,Total,FY2024,3920160.0,2024,False
Cars,EV,FY2024,99719.0,2024,True
Cars,Diesel,FY2024,700828.0,2024,False
Cars,Petrol,FY2024,2204186.0,2024,False
Bus,Total,FY2024,91259.0,2024,False
Bus,EV,FY2024,3733.0,2024,True
Bus,Diesel,FY2024,78361.0,2024,False
LGV (up to 7/5 tonnes),Total,FY2024,536247.0,2024,False
LGV (up to 7/5 tonnes),EV,FY2024,4626.0,2024,True
LGV (up to 7/5 tonnes),Diesel,FY2024,383532.0,2024,False
MGV (7.5-12 tonnes),Total,FY2024,42012.0,2024,False
MGV (7.5-12 tonnes),EV,FY2024,0.0,2024,True
MGV (7.5-12 tonnes),Diesel,FY2024,32566.0,2024,False
HGV (>12 tonnes),Total,FY2024,258696.0,2024,False
HGV (>12 tonnes),EV,FY2024,276.0,2024,True
HGV (>12 tonnes),Diesel,FY2024,248201.0,2024,False
Others,Total,FY2024,1133864.0,2024,False
Others,EV,FY2024,246.0,2024,True
All Vehicles,Total,FY2025,26220948.0,2025,False
All Vehicles,EV,FY2025,1964831.0,2025,True
All Vehicles,Petrol,FY2025,19169293.0,2025,False
All Vehicles,Diesel,FY2025,2640517.0,2025,False
2W,Total,FY2025,19551827.0,2025,False
2W,EV,FY2025,1209658.0,2025,True
2W,Petrol,FY2025,17675236.0,2025,False
3W Passenger,Total,FY2025,594281.0,2025,False
3W Passenger,EV,FY2025,135266.0,2025,True
3W Passenger,Diesel,FY2025,74204.0,2025,False
3W Passenger,Petrol/CNG,FY2025,154.0,2025,False
3W Goods,Total,FY2025,130220.0,2025,False
3W Goods,EV,FY2025,28044.0,2025,True
3W Goods,Diesel,FY2025,64354.0,2025,False
3W Goods,CNG,FY2025,31216.0,2025,False
Cars,Total,FY2025,4270569.0,2025,False
Cars,EV,FY2025,115315.0,2025,True
Cars,Diesel,FY2025,745155.0,2025,False
Cars,Petrol,FY2025,2106040.0,2025,False
Bus,Total,FY2025,114542.0,2025,False
Bus,EV,FY2025,3393.0,2025,True
Bus,Diesel,FY2025,93005.0,2025,False
LGV (up to 7/5 tonnes),Total,FY2025,527772.4199999999,2025,False
LGV (up to 7/5 tonnes),EV,FY2025,5617.0,2025,True
LGV (up to 7/5 tonnes),Diesel,FY2025,443672.0,2025,False
MGV (7.5-12 tonnes),Total,FY2025,39560.0,2025,False
MGV (7.5-12 tonnes),EV,FY2025,0.0,2025,True
MGV (7.5-12 tonnes),Diesel,FY2025,33892.0,2025,False
HGV (>12 tonnes),Total,FY2025,235991.0,2025,False
HGV (>12 tonnes),EV,FY2025,127.0,2025,True
HGV (>12 tonnes),Diesel,FY2025,226551.0,2025,False
Others,Total,FY2025,1118234.0,2025,False
Others,EV,FY2025,376.0,2025,True
